Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Phascolosorex_doriae,NA,NA,NA,168.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2925,NA,NA,NA,NA,NA,NA,NA
Phascolosorex_dorsalis,350.06,3.6,NA,123.03,NA,19.75,129.37,NA,17.2,NA,NA,NA,NA,NA,NA,42,52.8,NA,NA,NA,NA,16.5365,NA,NA,NA,NA,NA,NA,NA
Phascomurexia_naso,374.16,3.69,1.5,52.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,53.85,NA,NA,NA,NA,12.228,NA,NA,NA,NA,NA,NA,NA
Planigale_gilesi,234.985,5.23,2,9.1,5,15.62,83.52,0.0097,4.93,NA,NA,NA,4,NA,0.933607118,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Planigale_ingrami,NA,7.24,2,6.035,1.3,NA,90,NA,NA,NA,NA,NA,1.3,NA,NA,5.1,4.3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
Planigale_maculata,290,7.645,2,11.3,5.8,20,70.72,NA,3.525,NA,NA,NA,4.870833333,NA,0.249144422,11,14.15,10.6,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
Planigale_novaeguineae,NA,NA,NA,14.9,0.416666667,NA,NA,NA,NA,NA,NA,NA,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,7.764,NA,NA,NA,NA,NA,NA,NA
Planigale_tenuirostris,240,5.995,2,6.85,5.2,19,94.73,NA,2.515,NA,NA,NA,4,NA,0.744010951,5.5,9,7.1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
Pseudantechinus_bilarni,344.325,4.75,1,23.05,3,38.98,100.68,NA,NA,NA,NA,NA,2,NA,0.999315537,23,31.25,NA,NA,NA,NA,9.818,NA,NA,NA,NA,NA,NA,NA
Pseudantechinus_macdonnellensis,350,5.94,1,39.99,7.9,44.36,106,0.01115,NA,NA,NA,NA,2.5,350,0.999315537,30,26,43.1,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA
Pseudantechinus_mimulus,350,5.94,1,39.99,7.9,44.36,106,0.01115,NA,NA,NA,NA,2.5,350,0.999315537,30,26,43.1,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA
Pseudantechinus_ningbing,341.73,4,1.05,20.74,2,46.71,111.68,NA,NA,NA,NA,NA,2,NA,0.999315537,17.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudantechinus_woolleyae,320.07,5.995,NA,40.615,4,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
